Section,Load Time (s),Load Memory Peak (MB),Clean Time (s),Clean Memory Peak (MB),DataFrame Size (MB),Total Rows,Analysis Time (s),Analysis Memory Peak (MB)
Benchmark  (S&P 500 only),0.1496,52.88,5.2823,0.02,196.35,2703531,2.4279,85.09
Full Dataset  (All Markets + NASDAQ + BTC),0.2234,52.88,8.4962,175.49,341.69,4601073,6.0501,282.05
